"jordanuser","jordanpassword","jordanavatarimagestring","jordan"
"aaricuser","aaricpassword","aaricavatarimagestring","aaric"
"willuser","willpassword","willavatarimagestring","will"
"aarichan","password2","singing.png","AyyAyyRic"
"aarichan2","pass","books.png","Aaric Han"
""
"aarichan3","aarichan3","boss.png","Aaric Han 3"
"fxtestuser","fxtestuser","boss.png","FX Test User"
"fxtestuser0","fxtestuser0","boss.png","fxtestuser0"
"fxtestuser34","fxtestuser34","boss.png","fxtestuser34"
"fxtestuser4","fxtestuser4","boss.png","fxtestuser4"
"fxtestuser10","fxtestuser10","boss.png","fxtestuser10"
"fxtestuser42","fxtestuser42","boss.png","fxtestuser42"
"fxtestuser76973","fxtestuser76973","boss.png","fxtestuser76973"
"aaric","aaric","happy.png","Aaric"
